ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
1,Inception,2010,13.0,8.8,1,0,0,0,Christopher Nolan,0
2,The Matrix,1999,18.0,8.7,1,0,0,0,"Lana Wachowski,Lilly Wachowski",0
3,Avengers: Infinity War,2018,13.0,8.5,1,0,0,0,"Anthony Russo,Joe Russo",0
4,Back to the Future,1985,7.0,8.5,1,0,0,0,Robert Zemeckis,0
5,"The Good, the Bad and the Ugly",1966,18.0,8.8,1,0,1,0,Sergio Leone,0
6,Spider-Man: Into the Spider-Verse,2018,7.0,8.4,1,0,0,0,"Bob Persichetti,Peter Ramsey,Rodney Rothman",0
7,The Pianist,2002,18.0,8.5,1,0,1,0,Roman Polanski,0
8,Django Unchained,2012,18.0,8.4,1,0,0,0,Quentin Tarantino,0
9,Raiders of the Lost Ark,1981,7.0,8.4,1,0,0,0,Steven Spielberg,0
10,Inglourious Basterds,2009,18.0,8.3,1,0,0,0,Quentin Tarantino,0
11,Taxi Driver,1976,18.0,8.3,1,0,0,0,Martin Scorsese,0
12,3 Idiots,2009,13.0,8.4,1,0,1,0,Rajkumar Hirani,0
13,Pan's Labyrinth,2006,18.0,8.2,1,0,0,0,Guillermo del Toro,0
14,Room,2015,18.0,8.1,1,0,0,0,Lenny Abrahamson,0
15,Monty Python and the Holy Grail,1975,7.0,8.2,1,0,0,0,"Terry Gilliam,Terry Jones",0
16,Once Upon a Time in the West,1968,13.0,8.5,1,0,1,0,Sergio Leone,0
17,Indiana Jones and the Last Crusade,1989,13.0,8.2,1,0,0,0,Steven Spielberg,0
18,Groundhog Day,1993,7.0,8.0,1,0,0,0,Harold Ramis,0
19,The King's Speech,2010,18.0,8.0,1,0,0,0,Tom Hooper,0
20,Her,2013,18.0,8.0,1,0,0,0,Spike Jonze,0
21,There Will Be Blood,2007,18.0,8.2,1,0,0,0,Paul Thomas Anderson,0
22,The Social Network,2010,13.0,7.7,1,0,0,0,David Fincher,0
23,Dallas Buyers Club,2013,18.0,8.0,1,0,0,0,Jean-Marc Vallée,0
24,The Perks of Being a Wallflower,2012,13.0,8.0,1,0,0,0,Stephen Chbosky,0
25,Life of Brian,1979,18.0,8.1,1,0,0,0,Terry Jones,0
26,Ex Machina,2015,18.0,7.7,1,0,0,0,Alex Garland,0
27,Silver Linings Playbook,2012,18.0,7.7,1,0,0,0,David O. Russell,0
28,District 9,2009,18.0,7.9,1,0,0,0,Neill Blomkamp,0
29,The Irishman,2019,18.0,7.9,1,0,0,0,Martin Scorsese,0
30,Moon,2009,18.0,7.9,1,0,0,0,Duncan Jones,0
31,Marriage Story,2019,18.0,8.0,1,0,0,0,Noah Baumbach,0
32,Drive,2011,18.0,7.8,1,0,1,0,Nicolas Winding Refn,0
33,Train to Busan,2016,,7.5,1,0,1,0,Sang-ho Yeon,0
34,Incredibles 2,2018,7.0,7.6,1,0,0,0,Brad Bird,0
